Customer_ID,Country,Gender, Customer_FirstName, Customer_LastName,Birth_Date,Customer_Address, Street_ID, Street_Number
1,FR,M,Albert,Collet,10/20/2002,Square Edouard Vii 1,3500101176,1
2,ES,F,Mercedes,Martínez,10/24/1985,Edificio 2,8300101034,2
3,IT,M,Pier Egidio,Boeris,10/25/1981,Via M. Di Montesole 3,4800100416,3
4,US,M,James,Kvarniq,10/26/1977,4382 Gralyn Rd,9260106519,4382
5,US,F,Sandrina,Stephano,11/2/1951,6468 Cog Hill Ct,9260114570,6468
6,BE,M,Rent,Van Lint,10/20/2001,Mispadstr 2,1900104760,2
7,ES,F,Julián,Escorihuela Monserrate,10/26/1976,Co. De Los Claveles 561,8300100945,561
8,FI,M,Aki,Ivonen,10/28/1968,Valimotie 5,3400100281,5
9,DE,F,Cornelia,Krahl,10/31/1957,Kallstadterstr. 9,3940106659,9
10,US,F,Karen,Ballinger,10/27/1974,425 Bryant Estates Dr,9260129395,425
11,DE,F,Elke,Wallstab,10/26/1976,Carl-Zeiss-Str. 15,3940108592,15
12,US,M,David,Black,10/28/1971,1068 Haithcock Rd,9260103713,1068
13,DE,M,Markus,Sepke,10/28/1968,Iese 1,3940105189,1
14,FR,M,Albert,Eulert,10/19/2004,Bd des Bouvets 1,3500100630,1
15,IT,F,Claudia,Cambiaggi,10/19/2004,Viale Matteotti 52,4800101500,52
16,DE,M,Ulrich,Heyde,10/29/1966,Oberstr. 61,3940105865,61
17,US,M,Jimmie,Evans,10/31/1957,391 Greywood Dr,9260123306,391
18,US,M,Tonie,Asmussen,10/30/1962,117 Langtree Ln,9260112361,117
19,DE,M,Oliver S.,Füßling,11/2/1949,Hechtsheimerstr. 18,3940106547,18
20,US,M,Michael,Dineley,10/21/1999,2187 Draycroft Pl,9260118934,2187
21,ES,M,José,Fernández de Mesa,10/26/1977,C. Santa Hortensia 2,8300100682,2
22,TR,M,Vildan,Akbas,10/22/1995,Istilal Caddesi No: 4,9050100003,4
23,US,M,Tulio,Devereaux,10/22/1993,1532 Ferdilah Ln,9260126679,1532
24,US,F,Robyn,Klem,10/22/1993,435 Cambrian Way,9260115784,435
25,IT,M,Ssilvano,Toninelli,10/23/1991,Via Lampedusa 10,4800102197,10
26,FR,M,Didier,Serplet,10/25/1981,Rue du Piave 2,3500100022,2
27,US,F,Cynthia,Mccluney,10/31/1959,188 Grassy Creek Pl,9260105670,188
28,IL,M,Avinoam,Tuvia,10/31/1956,Mivtza Kadesh St 33,4750100001,33
29,AU,F,Candy,Kinsey,10/20/2003,21 Hotham Parade,1600103020,21
30,IT,F,Barbara,Santangelo,10/29/1966,Via G.B. Stucchi 79,4800102656,79
31,US,F,Cynthia,Martinez,10/22/1994,42 Arrowood Ln,9260128428,42
32,AU,M,Gavin,Graham,10/26/1978,480 Princess Hwy,1600100985,480
33,DE,M,Rolf,Robak,10/30/1961,Münsterstraße 67,3940102376,67
34,US,M,Alvan,Goheen,10/28/1970,844 Glen Eden Dr,9260111379,844
35,GB,M,Mike,Merriott,10/30/1961,29 Lothian Road,9250101564,29
36,US,M,Phenix,Hill,10/26/1978,417 Halstead Cir,9260128237,417
37,NL,M,J.P.,Venus,11/1/1953,Jaffalaan 6,6300100615,6
38,US,M,Everet,Menzie,10/25/1980,1131 Black Bird Ct,9260107593,1131
39,US,M,Alphone,Greenwald,10/20/2000,4386 Hamrick Dr,9260123099,4386
40,FR,M,Mathieu,Chatelin,10/20/2001,Rue Faidherbe 7,3500100465,7
41,AU,M,Wendell,Summersby,10/20/2003,9 Angourie Court,1600101527,9
42,DE,M,Thomas,Leitmann,10/24/1987,Carl Von Linde Str. 13,3940109715,13
43,PT,M,António,Vidinha,10/31/1956,Av.d.Nuno Álvares Pereira Nº 2,7350100042,2
44,FR,M,Jacky,Segretain,10/21/1997,Bld de la Republique 30,3500100201,30
45,US,F,Dianne,Patchin,10/26/1977,7818 Angier Rd,9260104847,7818
46,FR,F,Anne,Robain,10/31/1958,Rue Chaplin 32,3500101302,32
47,GB,M,Richard,Tompsett,10/30/1962,5 Windsor Road,9250106084,5
48,IT,F,Daniela,Loro Piana,10/21/1998,Via Casarini 19,4800100367,19
49,US,F,Annmarie,Leveille,10/23/1991,185 Birchford Ct,9260104510,185
50,DE,M,Gert-Gunter,Mendler,11/2/1949,Humboldtstr. 1,3940105781,1
51,FR,M,Jean-Claude,Nogues,10/25/1980,Avenue Jean Jaures 15,3500101547,15
52,US,M,Yan,Kozlowski,10/20/2003,1233 Hunters Crossing,9260116235,1233
53,AU,F,Dericka,Pockran,10/22/1995,131 Franklin St,1600103258,131
54,SE,M,Ingemar,Andersson,10/25/1982,Västmannagatan 12,8500100463,12
55,US,F,Barner,Matthews,10/31/1957,76 Creekside Dr,9260125331,76
56,US,M,Roy,Siferd,10/26/1978,334 Kingsmill Rd,9260111871,334
57,ZA,M,Rauol,Suliman,10/29/1966,Ewald Road 855,8010100022,855
58,IT,M,Vilmo,Bortesi,10/22/1995,Via Delle Terme Di Caracalla 1,4800103784,1
59,GB,M,Martin,Barnes,10/30/1963,6 Agar Street,9250102798,6
60,US,F,Tedi,Lanzarone,11/1/1955,2429 Hunt Farms Ln,9260101262,2429
61,DE,M,Carsten,Maestrini,10/21/1998,Münzstr. 28,3940108887,28
