Invoice ID,warehouse_name,Shipment_mode,Product line,Unit price,Quantity,shipping cost,Date,Time,Payment,Unit cost,Rating,Customer_ID,Customer type,Country,Gender,Birth_Date,Customer_Address, Street_ID, Street_Number,CustFN,age_when_order,month,total_income,total_cost,total_profit
750-67-8428,WH1,ExpressAir,Health and beauty,74.69,7,7.469,2019-01-05,13:08,Ewallet,67.221,3.1,1,Member,FR,M,2002-10-20,Square Edouard Vii 1,3500101176.0,1.0,Albert Collet,16.210814510609172,January,522.8299999999999,470.547,52.2829999999999
226-31-3081,WH2,ExpressAir,Electronic accessories,15.28,5,1.528,2019-03-08,10:29,Cash,13.752,3.1,2,Normal,ES,F,1985-10-24,Edificio 2,8300101034.0,2.0,Mercedes Martínez,33.36892539356605,March,76.39999999999999,68.76,7.639999999999986
631-41-3108,WH1,Regular Air,Home and lifestyle,46.33,7,2.3165,2019-03-03,13:23,Credit card,41.697,3.1,3,Normal,IT,M,1981-10-25,Via M. Di Montesole 3,4800100416.0,3.0,Pier Egidio Boeris,37.35249828884326,March,324.31,291.879,32.43099999999998
123-19-1176,WH1,Regular Air,Health and beauty,58.22,8,2.911,2019-01-27,20:33,Ewallet,52.398,3.5,4,Member,US,M,1977-10-26,4382 Gralyn Rd,9260106519.0,4382.0,James Kvarniq,41.2539356605065,January,465.76,419.184,46.575999999999965
373-73-7910,WH1,Special Air  ,Sports and travel,86.31,7,6.9048,2019-02-08,10:37,Ewallet,77.679,2.7,5,Normal,US,F,1951-11-02,6468 Cog Hill Ct,9260114570.0,6468.0,Sandrina Stephano,67.26899383983573,February,604.1700000000001,543.753,60.41700000000003
699-14-3026,WH2,Regular Air,Electronic accessories,85.39,7,4.2695,2019-03-25,18:30,Ewallet,76.851,2.9,6,Normal,BE,M,2001-10-20,Mispadstr 2,1900104760.0,2.0,Rent Van Lint,17.426420260095824,March,597.73,537.957,59.773000000000025
355-53-5943,WH1,Special Air  ,Electronic accessories,68.84,6,5.5072,2019-02-25,14:36,Ewallet,61.956,3.2,7,Member,ES,F,1976-10-26,Co. De Los Claveles 561,8300100945.0,561.0,Julián Escorihuela Monserrate,42.332648870636554,February,413.04,371.736,41.30400000000003
315-22-5665,WH2,Special Air  ,Home and lifestyle,73.56,10,5.8848,2019-02-24,11:38,Ewallet,66.204,3.2,8,Normal,FI,M,1968-10-28,Valimotie 5,3400100281.0,5.0,Aki Ivonen,50.32443531827516,February,735.6,662.04,73.56000000000006
665-32-9167,WH1,Regular Air,Health and beauty,36.26,2,1.813,2019-01-10,17:15,Credit card,32.634,2.6,9,Member,DE,F,1957-10-31,Kallstadterstr. 9,3940106659.0,9.0,Cornelia Krahl,61.1937029431896,January,72.52,65.268,7.251999999999995
692-92-5582,WH3,Regular Air,Food and beverages,54.84,3,2.742,2019-02-20,13:27,Credit card,49.356,4.8,10,Member,US,F,1974-10-27,425 Bryant Estates Dr,9260129395.0,425.0,Karen Ballinger,44.31759069130732,February,164.52,148.068,16.451999999999998
351-62-0822,WH3,Special Air  ,Fashion accessories,14.48,4,1.1584,2019-02-06,18:07,Ewallet,13.032,4.1,11,Member,DE,F,1976-10-26,Carl-Zeiss-Str. 15,3940108592.0,15.0,Elke Wallstab,42.280629705681044,February,57.92,52.128,5.792000000000002
529-56-3974,WH3,Special Air  ,Electronic accessories,25.51,4,2.0408,2019-03-09,17:03,Cash,22.959,4.9,12,Member,US,M,1971-10-28,1068 Haithcock Rd,9260103713.0,1068.0,David Black,47.36208076659822,March,102.04,91.836,10.204000000000008
365-64-0515,WH1,Special Air  ,Electronic accessories,46.95,5,3.756,2019-02-12,10:25,Ewallet,42.255,4.5,13,Normal,DE,M,1968-10-28,Iese 1,3940105189.0,1.0,Markus Sepke,50.29158110882957,February,234.75,211.275,23.474999999999994
252-56-2699,WH1,Special Air  ,Food and beverages,43.19,10,3.4552,2019-02-07,16:48,Ewallet,38.871,4.7,14,Normal,FR,M,2004-10-19,Bd des Bouvets 1,3500100630.0,1.0,Albert Eulert,14.302532511978097,February,431.9,388.71000000000004,43.18999999999994
829-34-3910,WH1,Special Air  ,Health and beauty,71.38,10,5.7104,2019-03-29,19:21,Cash,64.242,4.7,15,Normal,IT,F,2004-10-19,Viale Matteotti 52,4800101500.0,52.0,Claudia Cambiaggi,14.439425051334702,March,713.8,642.4200000000001,71.37999999999988
299-46-1805,WH3,ExpressAir,Sports and travel,93.72,6,9.372,2019-01-15,16:19,Cash,84.348,2.8,16,Member,DE,M,1966-10-29,Oberstr. 61,3940105865.0,61.0,Ulrich Heyde,52.2135523613963,January,562.3199999999999,506.08799999999997,56.23199999999997
656-95-9349,WH1,Special Air  ,Health and beauty,68.93,7,5.5144,2019-03-11,11:03,Credit card,62.037,4.1,17,Member,US,M,1957-10-31,391 Greywood Dr,9260123306.0,391.0,Jimmie Evans,61.35797399041752,March,482.51000000000005,434.259,48.25100000000003
765-26-6951,WH1,ExpressAir,Sports and travel,72.61,6,7.261,2019-01-01,10:39,Credit card,65.349,4.7,18,Normal,US,M,1962-10-30,117 Langtree Ln,9260112361.0,117.0,Tonie Asmussen,56.172484599589325,January,435.65999999999997,392.09400000000005,43.56599999999992
329-62-1586,WH1,Special Air  ,Food and beverages,54.67,3,4.3736,2019-01-21,18:00,Credit card,49.203,4.6,19,Normal,DE,M,1949-11-02,Hechtsheimerstr. 18,3940106547.0,18.0,Oliver S. Füßling,69.21834360027378,January,164.01,147.609,16.400999999999982
319-50-3348,WH3,ExpressAir,Home and lifestyle,40.3,2,4.03,2019-03-11,15:30,Ewallet,36.27,3.3,20,Normal,US,M,1999-10-21,2187 Draycroft Pl,9260118934.0,2187.0,Michael Dineley,19.38672142368241,March,80.6,72.54,8.059999999999988
300-71-4605,WH2,ExpressAir,Electronic accessories,86.04,5,8.604,2019-02-25,11:24,Ewallet,77.436,2.8,21,Member,ES,M,1977-10-26,C. Santa Hortensia 2,8300100682.0,2.0,José Fernández de Mesa,41.333333333333336,February,430.20000000000005,387.18000000000006,43.01999999999998
371-85-5789,WH3,ExpressAir,Health and beauty,87.98,3,8.798,2019-03-05,10:40,Ewallet,79.182,4.1,22,Normal,TR,M,1995-10-22,Istilal Caddesi No: 4,9050100003.0,4.0,Vildan Akbas,23.367556468172484,March,263.94,237.546,26.394000000000005
273-16-6619,WH3,Regular Air,Home and lifestyle,33.2,2,1.66,2019-03-15,12:20,Credit card,29.88,3.2,23,Normal,US,M,1993-10-22,1532 Ferdilah Ln,9260126679.0,1532.0,Tulio Devereaux,25.39356605065024,March,66.4,59.76,6.640000000000008
636-48-8204,WH1,ExpressAir,Electronic accessories,34.56,5,3.456,2019-02-17,11:15,Ewallet,31.104,4.4,24,Normal,US,F,1993-10-22,435 Cambrian Way,9260115784.0,435.0,Robyn Klem,25.322381930184804,February,172.8,155.51999999999998,17.28000000000003
549-59-1358,WH1,Special Air  ,Sports and travel,88.63,3,7.0904,2019-03-02,17:36,Ewallet,79.767,2.9,25,Member,IT,M,1991-10-23,Via Lampedusa 10,4800102197.0,10.0,Ssilvano Toninelli,27.356605065023956,March,265.89,239.301,26.589
227-03-5010,WH1,Regular Air,Home and lifestyle,52.59,8,2.6295,2019-03-22,19:20,Credit card,47.331,3.6,26,Member,FR,M,1981-10-25,Rue du Piave 2,3500100022.0,2.0,Didier Serplet,37.40451745379877,March,420.72,378.648,42.072
