,Invoice ID,warehouse_name,Shipment_mode,Product line,Unit price,Quantity,shipping cost,Date,Time,Payment,Unit cost,Rating,Customer_ID,Customer type,Country,Gender,Birth_Date,Customer_Address, Street_ID, Street_Number,CustFN
0,750-67-8428,WH1,ExpressAir,Health and beauty,74.69,7,7.469,1/5/2019,13:08,Ewallet,67.221,3.1,1,Member,FR,M,10/20/2002,Square Edouard Vii 1,3500101176.0,1.0,Albert Collet
1,226-31-3081,WH2,ExpressAir,Electronic accessories,15.28,5,1.528,3/8/2019,10:29,Cash,13.752,3.1,2,Normal,ES,F,10/24/1985,Edificio 2,8300101034.0,2.0,Mercedes Martínez
2,631-41-3108,WH1,Regular Air,Home and lifestyle,46.33,7,2.3165,3/3/2019,13:23,Credit card,41.697,3.1,3,Normal,IT,M,10/25/1981,Via M. Di Montesole 3,4800100416.0,3.0,Pier Egidio Boeris
3,123-19-1176,WH1,Regular Air,Health and beauty,58.22,8,2.911,1/27/2019,20:33,Ewallet,52.398,3.5,4,Member,US,M,10/26/1977,4382 Gralyn Rd,9260106519.0,4382.0,James Kvarniq
4,373-73-7910,WH1,Special Air  ,Sports and travel,86.31,7,6.9048,2/8/2019,10:37,Ewallet,77.679,2.7,5,Normal,US,F,11/2/1951,6468 Cog Hill Ct,9260114570.0,6468.0,Sandrina Stephano
5,699-14-3026,WH2,Regular Air,Electronic accessories,85.39,7,4.2695,3/25/2019,18:30,Ewallet,76.851,2.9,6,Normal,BE,M,10/20/2001,Mispadstr 2,1900104760.0,2.0,Rent Van Lint
6,355-53-5943,WH1,Special Air  ,Electronic accessories,68.84,6,5.5072,2/25/2019,14:36,Ewallet,61.956,3.2,7,Member,ES,F,10/26/1976,Co. De Los Claveles 561,8300100945.0,561.0,Julián Escorihuela Monserrate
7,315-22-5665,WH2,Special Air  ,Home and lifestyle,73.56,10,5.8848,2/24/2019,11:38,Ewallet,66.204,3.2,8,Normal,FI,M,10/28/1968,Valimotie 5,3400100281.0,5.0,Aki Ivonen
8,665-32-9167,WH1,Regular Air,Health and beauty,36.26,2,1.813,1/10/2019,17:15,Credit card,32.634,2.6,9,Member,DE,F,10/31/1957,Kallstadterstr. 9,3940106659.0,9.0,Cornelia Krahl
9,692-92-5582,WH3,Regular Air,Food and beverages,54.84,3,2.742,2/20/2019,13:27,Credit card,49.356,4.8,10,Member,US,F,10/27/1974,425 Bryant Estates Dr,9260129395.0,425.0,Karen Ballinger
